race_id,race_name,course,date,type,class,pattern,aver_or,total_prize
rac_11257922,Channor Real Estate Group Novice Hurdle,Punchestown (IRE),2024-05-01,Hurdle,,Grade 1,104.14285714285714,0.0
rac_11272469,Weatherbys General Stud Book Irish EBF Mares INH Flat Race,Punchestown (IRE),2024-05-01,NH Flat,,Grade 3,0.0,0.0
rac_11257935,Race & Stay At Punchestown Champion I.N.H. Flat Race,Punchestown (IRE),2024-05-01,NH Flat,,Grade 1,0.0,0.0
rac_11275108,Get The Inside Track With raceday-ready.com Handicap (Div II),Lingfield (AW),2024-05-02,Flat,Class 6,,48.857142857142854,5607.09
rac_11240658,Tips For Every Race At raceday-ready.com Handicap,Lingfield (AW),2024-05-02,Flat,Class 6,,49.833333333333336,5607.09
rac_11240645,Get Raceday Ready Handicap,Lingfield (AW),2024-05-02,Flat,Class 6,,60.4,5607.09
rac_11240632,Get The Inside Track With raceday-ready.com Handicap (Div I),Lingfield (AW),2024-05-02,Flat,Class 6,,50.3,5607.09
rac_11240619,Download The Racecourse App Raceday Ready Handicap,Lingfield (AW),2024-05-02,Flat,Class 5,,73.8,6984.2699999999995
rac_11240606,Download The Raceday Ready App Apprentice Handicap,Lingfield (AW),2024-05-02,Flat,Class 4,,73.16666666666667,9345.15
rac_11240593,Free Digital Racecard At raceday-ready.com Fillies' Novice Stakes (GBB Race),Lingfield (AW),2024-05-02,Flat,Class 3,,0.0,13968.539999999999
rac_11240580,Download The bet365 App Handicap,Chelmsford (AW),2024-05-02,Flat,Class 6,,51.72727272727273,7525.3
rac_11240567,Best Odds Guaranteed At bet365 Handicap,Chelmsford (AW),2024-05-02,Flat,Class 6,,64.25,7525.3
rac_11240554,Bet Boost At bet365 Handicap,Chelmsford (AW),2024-05-02,Flat,Class 6,,50.0,7525.3
rac_11240541,It's Never Ordinary At bet365 Novice Stakes (GBB Race),Chelmsford (AW),2024-05-02,Flat,Class 5,,0.0,7869.599999999999
rac_11240528,Murray Kerr Memorial Handicap,Chelmsford (AW),2024-05-02,Flat,Class 5,,68.77777777777777,9492.7
rac_11240515,Each Way Extra At bet365 Handicap,Chelmsford (AW),2024-05-02,Flat,Class 4,,78.5,11804.4
rac_11240502,IRE-Incentive It Pays To Buy Irish Chelmer Fillies' Stakes () (IRE Incentive Race),Chelmsford (AW),2024-05-02,Flat,Class 1,Listed,74.27272727272727,78696.0
rac_11238825,Racing TV Club Day Here Today Handicap,Redcar,2024-05-02,Flat,Class 6,,49.083333333333336,7033.45
rac_11238812,Racing TV Profits Returned To Racing Handicap,Redcar,2024-05-02,Flat,Class 6,,55.1,7033.45
rac_11238799,Start RacingTV Free Trial Now Fillies' Novice Stakes (GBB Race),Redcar,2024-05-02,Flat,Class 5,,6.428571428571429,7377.75
rac_11238786,Join Racing TV Restricted Novice Stakes (For horses In Bands C And D) (GBB Race),Redcar,2024-05-02,Flat,Class 5,,0.0,7377.75
rac_11238773,Watch Race Replays At racingtv.com Handicap,Redcar,2024-05-02,Flat,Class 5,,72.33333333333333,9496.6
rac_11238760,Racing TV Free Trial Handicap,Redcar,2024-05-02,Flat,Class 3,,82.16666666666667,14755.5
rac_11238747,Sky Sports Racing Sky 415 Handicap,Doncaster,2024-05-02,Flat,Class 4,,76.6,10623.960000000001
rac_11238734,Download The At The Races App Handicap,Doncaster,2024-05-02,Flat,Class 6,,60.75,7082.64
rac_11238721,At The Races App Form Study Maiden Stakes (GBB Race),Doncaster,2024-05-02,Flat,Class 5,,0.0,7869.599999999999
rac_11238708,At The Races App Market Movers 'Confined' Handicap (Horses Which Have Not Won More Than One Race),Doncaster,2024-05-02,Flat,Class 5,,65.375,8263.08
rac_11238695,At The Races App Expert Tips Handicap,Doncaster,2024-05-02,Flat,Class 5,,72.75,8006.040000000001
rac_11238682,Sky Sports Racing HD Virgin 519 Handicap,Doncaster,2024-05-02,Flat,Class 5,,67.71428571428571,8263.08
rac_11238669,British EBF Maiden Stakes (GBB Race),Doncaster,2024-05-02,Flat,Class 4,,0.0,9787.81
rac_11238656,Whyte & Mackay Handicap,Ayr,2024-05-02,Flat,Class 6,,56.8,6885.900000000001
rac_11238643,Britvic Soft Drinks Handicap,Ayr,2024-05-02,Flat,Class 6,,57.0,6885.900000000001
rac_11238630,Aqua Libra Co Handicap,Ayr,2024-05-02,Flat,Class 6,,58.333333333333336,6885.900000000001
rac_11238617,Enjoy Whyte & Mackay Handicap,Ayr,2024-05-02,Flat,Class 6,,65.0,6885.900000000001
rac_11238604,Tennent's Maiden Stakes (GBB Race),Ayr,2024-05-02,Flat,Class 5,,14.4,7869.6
