race_id,race_name,course
rac_11318645,Lake Isle Of Innisfree Handicap Hurdle (Div I),Sligo (IRE)
rac_11318632,RSS Record Storage Service Opportunity Maiden Hurdle,Sligo (IRE)
rac_11318619,Hazelwood Mares Maiden Hurdle,Sligo (IRE)
rac_11318606,Knocknarea Opportunity Claiming Hurdle,Sligo (IRE)
rac_11321388,Randox (Q.R.) Handicap Hurdle (Div II),Downpatrick (IRE)
rac_11320608,Randox (Q.R.) Handicap Hurdle (Div I),Downpatrick (IRE)
rac_11320595,Northern Ireland On Course Bookmakers Association Opportunity Handicap Hurdle,Downpatrick (IRE)
rac_11320582,Irish Stallion Farms EBF Mares Maiden Hurdle,Downpatrick (IRE)
rac_11320738,Randox Handicap Hurdle,Downpatrick (IRE)
rac_11320725,Dunlop Homes Rated Novice Hurdle,Downpatrick (IRE)
rac_11320712,Download The New Tote App Opportunity Handicap Hurdle,Downpatrick (IRE)
rac_11320699,Irish Stallion Farms EBF Mares Handicap Hurdle,Downpatrick (IRE)
rac_11320686,Cab Plant Maiden Hurdle,Downpatrick (IRE)
rac_11320673,Adare Manor Opportunity Maiden Hurdle,Downpatrick (IRE)
rac_11322506,Belvedere House & Gardens Opportunity Handicap Hurdle (Div II),Kilbeggan (IRE)
rac_11321232,Paul & Carmel Fay Memorial Handicap Hurdle,Kilbeggan (IRE)
rac_11321219,Belvedere House & Gardens Opportunity Handicap Hurdle (Div I),Kilbeggan (IRE)
rac_11321206,www.kilbegganraces.com (Q.R.) Maiden Hurdle,Kilbeggan (IRE)
rac_11321193,Follow Kilbeggan On Instagram Mares Hurdle,Kilbeggan (IRE)
rac_11332750,Cappawhite CE Handicap Hurdle,Tipperary (IRE)
rac_11332737,Easyfix Handicap Hurdle,Tipperary (IRE)
rac_11332724,O'Driscoll's Irish Whiskey Maiden Hurdle,Tipperary (IRE)
rac_11332711,Kevin McManus Bookmaker Grimes Hurdle,Tipperary (IRE)
rac_11332698,TipperaryRaces.ie Handicap Hurdle,Tipperary (IRE)
rac_11332685,Donohue Marquees 3-Y-O Maiden Hurdle,Tipperary (IRE)
rac_11339991,Mallow Handicap Hurdle (Div II),Cork (IRE)
rac_11333972,RBC Brewin Dolphin Hurdle,Cork (IRE)
rac_11333959,Follow Us On Twitter Maiden Hurdle,Cork (IRE)
rac_11333946,Follow Us On Instagram Mares Handicap Hurdle,Cork (IRE)
rac_11333933,Mallow Handicap Hurdle (Div I),Cork (IRE)
rac_11333920,Buy Tickets On www.corkracecourse.ie Maiden Hurdle,Cork (IRE)
rac_11333907,Sign Up To Our Newsletter Maiden Hurdle,Cork (IRE)
rac_11340511,Adare Manor Opportunity Handicap Hurdle (Div II),Bellewstown (IRE)
rac_11335051,QuinnBet Handicap Hurdle,Bellewstown (IRE)
rac_11335038,Adare Manor Opportunity Handicap Hurdle (Div I),Bellewstown (IRE)
rac_11335025,Phil & Patsy Kierans Memorial Mares Maiden Hurdle,Bellewstown (IRE)
rac_11335012,Bia Energy Bellewstown Handicap Hurdle,Bellewstown (IRE)
rac_11334999,Grimme Ireland Maiden Hurdle,Bellewstown (IRE)
rac_11334986,Lennon Solar Novice Hurdle,Bellewstown (IRE)
rac_11341161,Kilcawley Construction Handicap Hurdle (Div II),Sligo (IRE)
rac_11334960,Sligo Park Hotel Handicap Hurdle,Sligo (IRE)
rac_11334947,Kilcawley Construction Handicap Hurdle (Div I),Sligo (IRE)
rac_11334934,Friends Of Brian Mulligan Opportunity Handicap Hurdle,Sligo (IRE)
rac_11334921,Irish Stallion Farms EBF Mares Handicap Hurdle,Sligo (IRE)
rac_11334908,CT Electrical Maiden Hurdle,Sligo (IRE)
rac_11334895,Family Day At Sligo Races Maiden Hurdle,Sligo (IRE)
rac_11340420,Roscommon Herald Handicap Hurdle,Roscommon (IRE)
rac_11340407,Re/Max Team Earley Handicap Hurdle,Roscommon (IRE)
rac_11340394,SuperValu Co. Roscommon Ladies Day Novice Hurdle,Roscommon (IRE)
rac_11340381,Frenchpark Maiden Hurdle,Roscommon (IRE)
rac_11340368,Adare Manor Opportunity Maiden Hurdle,Roscommon (IRE)
rac_11340355,Knockcroghery Claiming Hurdle,Roscommon (IRE)
rac_11342994,Larrigy's Pub Handicap Hurdle (Div II),Kilbeggan (IRE)
rac_11342292,Kilbeggan Racecourse Handicap Hurdle,Kilbeggan (IRE)
rac_11342279,Larrigy's Pub Handicap Hurdle (Div I),Kilbeggan (IRE)
rac_11342266,Writech Handicap Hurdle,Kilbeggan (IRE)
rac_11342253,Kilbeggan Irish Whiskey Maiden Hurdle,Kilbeggan (IRE)
rac_11342240,KilbegganRaces.com Mares Maiden Hurdle,Kilbeggan (IRE)
